Nome_da_Imagem,PID,Uso_de_CPU,Uso_de_MEM
/sbin/init splash,1,0.0,0.1
[irq/36-ASUF1200:00],205,0.1,0.0
[irq/79-rtw88_pci],782,0.8,0.0
/usr/libexec/gnome-remote-desktop-daemon --system,980,0.0,0.2
/usr/lib/polkit-1/polkitd --no-debug,989,0.0,0.1
/usr/lib/snapd/snapd,1001,0.0,0.3
/usr/libexec/accounts-daemon,1008,0.0,0.1
/usr/libexec/udisks2/udisksd,1020,0.0,0.1
/usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev,1042,0.0,0.1
/usr/sbin/ModemManager,1182,0.0,0.1
/usr/sbin/cupsd -l,1618,0.0,0.1
/usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal,1626,0.0,0.1
/usr/sbin/gdm3,1642,0.0,0.1
/usr/sbin/mysqld,1651,0.7,0.3
/usr/libexec/colord,1872,0.0,0.1
/usr/libexec/upowerd,1925,0.0,0.1
gdm-session-worker [pam/gdm-password],2303,0.0,0.1
/usr/sbin/cups-browsed,2328,0.0,0.2
/usr/bin/pipewire,2370,0.0,0.1
/usr/bin/wireplumber,2376,0.0,0.1
/usr/bin/pipewire-pulse,2377,0.0,0.1
"/usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring",2382,0.0,0.1
/usr/libexec/xdg-document-portal,2416,0.0,0.1
/usr/libexec/gnome-session-binary --session=ubuntu,2466,0.0,0.2
/usr/libexec/gvfsd,2566,0.0,0.1
/usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f,2576,0.0,0.1
/usr/libexec/at-spi-bus-launcher --launch-immediately,2609,0.0,0.1
/usr/libexec/at-spi2-registryd --use-gnome-session,2703,0.0,0.1
/usr/libexec/evolution-source-registry,2730,0.0,0.4
/usr/bin/ibus-daemon --panel disable,2768,0.0,0.1
/usr/libexec/gsd-color,2773,0.0,0.2
/usr/libexec/gsd-datetime,2775,0.0,0.1
/usr/libexec/gsd-housekeeping,2778,0.0,0.1
/usr/libexec/gsd-keyboard,2780,0.0,0.2
/usr/libexec/gsd-media-keys,2788,0.0,0.2
/usr/libexec/gsd-power,2798,0.0,0.3
/usr/libexec/gsd-print-notifications,2799,0.0,0.1
/usr/libexec/gsd-sharing,2805,0.0,0.1
/usr/libexec/gsd-smartcard,2806,0.0,0.1
/usr/libexec/gsd-sound,2822,0.0,0.1
/usr/libexec/gsd-wacom,2823,0.0,0.2
/usr/libexec/goa-daemon,2834,0.0,0.2
/usr/libexec/gvfs-udisks2-volume-monitor,2836,0.0,0.1
/usr/libexec/ibus-extension-gtk3,2878,0.0,0.3
/usr/libexec/evolution-data-server/evolution-alarm-notify,2880,0.0,0.7
/usr/libexec/gsd-disk-utility-notify,2891,0.0,0.1
/usr/libexec/gsd-printer,2950,0.0,0.1
/usr/libexec/evolution-calendar-factory,2961,0.0,0.3
/usr/libexec/goa-identity-service,2966,0.0,0.1
/usr/libexec/evolution-addressbook-factory,3014,0.0,0.3
/usr/libexec/gvfs-afc-volume-monitor,3019,0.0,0.1
/usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0,3086,0.0,0.1
/usr/libexec/xdg-desktop-portal,3107,0.0,0.1
/usr/libexec/tracker-miner-fs-3,3117,0.0,0.3
/usr/libexec/xdg-desktop-portal-gnome,3118,0.0,0.7
/usr/libexec/xdg-desktop-portal-gtk,3175,0.0,0.3
/opt/google/chrome/chrome,3346,1.7,4.2
"/opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --change-stack-guard-on-fork=enable",3363,0.0,0.3
"/opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --change-stack-guard-on-fork=enable",3364,0.0,0.4
"/opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --change-stack-guard-on-fork=enable",3366,0.0,0.1
/usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.FXCBV2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients,3377,0.7,1.0
/usr/libexec/gsd-xsettings,3396,0.0,0.3
/usr/libexec/ibus-x11,3423,0.0,0.2
/usr/libexec/mutter-x11-frames,3428,0.1,0.7
"/opt/google/chrome/chrome --type=gpu-process --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3466,1.3,2.5
"/opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=pt-BR --service-sandbox-type=none --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3468,0.4,1.3
"/opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=pt-BR --service-sandbox-type=utility --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3478,0.0,0.7
"/opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=pt-BR --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=17 --time-ticks-at-unix-epoch=-1728650763873607 --launch-time-ticks=22285481 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3533,0.7,2.4
"/opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=pt-BR --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=27 --time-ticks-at-unix-epoch=-1728650763873607 --launch-time-ticks=24657273 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3633,0.0,1.3
"/opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=pt-BR --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1728650763873607 --launch-time-ticks=26307127 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3688,0.0,1.9
"/opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=pt-BR --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=19 --time-ticks-at-unix-epoch=-1728650763873607 --launch-time-ticks=26315549 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3692,0.4,3.9
"/opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=pt-BR --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=14 --time-ticks-at-unix-epoch=-1728650763873607 --launch-time-ticks=26322151 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3697,0.0,2.2
"/opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=pt-BR --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=11 --time-ticks-at-unix-epoch=-1728650763873607 --launch-time-ticks=26329934 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3701,0.4,5.1
"/opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3355 --enable-crash-reporter=8b10cd0d-15a0-4234-8b4b-6bab8b94fc33, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=pt-BR --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=15 --time-ticks-at-unix-epoch=-1728650763873607 --launch-time-ticks=27896804 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1961645204210501973,13128361347025085384,262144 --disable-features=EyeDropper --variations-seed-version=20241010-050112.459000",3747,0.5,4.0
/usr/libexec/gvfsd-network --spawner :1.20 /org/gtk/gvfs/exec_spaw/1,3789,0.0,0.1
